"V1","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score"
330,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,3,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,2,1,2,1,1,2,18
331,5,5,5,5,5,5,5,5,5,4,3,3,3,5,4,5,4,5,5,4,4,3,4,3,3,3,3,4,5,NA,NA,1,NA,NA,NA,NA,3,4,4,3,3,3,4,3,3,3,3,4,5,4,4,4,5,5,4,5,1,1,3,3.1,4,4,7,1,2,1,1,2,16.6
332,4,5,5,5,4,5,5,3,5,5,2,3,3,5,5,2,5,4,5,3,4,3,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,7,1,2,1,1,2,18
333,5,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,1,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,3,5,3,3,4,2,4,3,4,4,4,4,4,4,4,4,4,5,3,2,4,2,3,3,1,1,2,3,1,2,17
334,4,3,3,3,3,3,3,3,4,2,2,2,3,4,3,3,3,2,3,3,3,3,3,3,2,2,4,2,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,4,4,5,3.7,3,3,4,3,4,4,4,4,5,3,3,3,3,3,2,3,1,1,2,1,1,2,17
335,4,4,4,4,4,4,5,4,4,2,3,2,4,4,5,4,4,4,3,3,4,2,3,2,4,3,3,4,4,NA,NA,NA,NA,NA,1,1,5,5,5,4,2,3,3,2,3,2,3,3,4,2,2,3,4,2,3,4,3,2,4,2,4,2,6,1,2,2,1,2,17
336,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,4,5,5,5,1,NA,1,NA,NA,NA,NA,5,5,3,3,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,1,11,1,2,18
337,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,3,3,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,4,5,5,4,5,3,4,3,4,5,5,4,4,4,4,4,4,4,4,3,4,3,3,3,2,1,1,1,1,2,20
338,4,3,4,2,2,3,5,4,4,3,3,3,3,4,4,4,5,3,4,3,3,2,3,2,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,4,4,3,4,4,4,4,2,4,2,4,3,3,3,3,3.1,3,3,3,4,3,3,3,3,3,3,3,1,1,2,1,2,18
339,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,18
340,5,3,3,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,3,4,3,3,2,4,3,3,2,3,3,4,4,3,4,2,3,3,4,3,3,1,1,2,2,1,2,18
341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,3,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,2,4,3,3,3,2,1,1,3,1,2,19
342,5,3,3,4,5,2,5,3,4,4,4,3,2,2,3,5,4,4,5,5,3,4,4,4,3,3.4,4,2,5,NA,NA,1,NA,1,NA,NA,4,5,3,3,4,3,4,3.1,4,3,3,3,2,5,3,4,3,4,4,2,3,3,4,4,4,3,1,1,2,4,1,2,21
343,5,4,4,5,5,5,5,5,5,5,4,3,5,5,4,5,5,4,5,4,3,1,2,2,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,4,3,4,1,4,3,5,5,4,4,4,5,4,5,1,1,1,1,1,2,1,1,1,4,1,2,7
344,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18
345,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,1,2,1,1,1,18
346,4,4,3,4,4,3,5,4,4,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,2,3,4,4,4,NA,NA,NA,NA,NA,NA,1,3,4,4,3,3,3,4,3,3,3,3,4,2,2,4,4,5,4,4,4,3,3,3,3,3,3,7,1,2,1,1,2,18
347,4,3,3,5,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,3,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,3,4,5,3,4,3,3,4,5,4,4,4,5,4,5,5,2,2,1,2,3,3,4,1,2,4,1,2,13
348,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,4,1,1,2,1,2,18
349,4,4,5,3,4,3,3,3,3,2,2,3,3,3,4,4,4,3,3,2,2,3,3,3,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,3,4,4,2,3,3,3,3,5,3,4,3,3,4,4,5,3,3,4,2,3,3,3,1,2,1,1,2,18
350,5,4,3,4,5,5,4,3,3,3,1,1,3,3,4,4,4,4,4,4,4,3,3,5,4,4,5,5,3,NA,NA,1,NA,NA,NA,NA,4,5,4,4,5,4,4,4,5,4,5,5,5,4,4,4,5,3,5,5,4,3,4,3,3,3,3,1,1,3,1,2,20
351,5,4,5,4,4,4,4,3,4,3,3,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,3,4,4,NA,NA,1,NA,NA,NA,NA,5,4,4,4,4,3,3,3,3,3,4,3,4,4,3,4,4,3,5,5,3,3,3,3,4,4,4,1,2,4,1,2,20
352,4,4,5,5,5,5,4,3,4,3,3,3,4,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,4,3,5,3,4,3,4,3,3,3,4,4,5,5,3,3,3,3,3,2,2,1,2,2,1,2,17
353,4,3,4,5,5,4,4,3,3,3,4,3,5,5,5,5,5,5,2,3,3,2,4,2,3,4,4,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,3,3,3,4,3,4,5,5,3,4,3,3,3,4,4,4,2,2,2,2,3,1,1,2,1,1,2,15
354,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,18
355,5,3,4,4,3,4,4,4,5,3,3,3,3,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,1,NA,NA,NA,5,4,4,4,5,3,4,3,5,3,5,4,5,3,3,3,5,5,3,4,1,1,1,2,3,3,2,1,2,1,1,6,11
356,3,4,4,5,4,4,4,3,4,3,3,3,5,4,4,4,4,3,3,3,5,2,4,2,3,3,3,3,3,NA,NA,1,NA,NA,NA,NA,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,1,2,2,1,2,18
357,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,NA,1,NA,NA,NA,NA,4,4,4,4,4,5,5,2,4,2,3,4,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,1,1,2,1,2,18
358,5,4,4,5,5,5,5,5,5,1,1,1,5,5,3,5,5,4,3,2,2,3,3,3,3,2,5,5,3,NA,NA,1,NA,NA,1,NA,5,5,5,5,4,5,5,3,4,4,4,4,4,3,4,3,4,3,5,5,3,3,3,3,3,3,3,1,1,1,1,2,18
359,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,2,3,2,4,2,2,2,4,3,3,4,1,2,4,1,2,16
360,5,3,4,5,5,5,5,4,4,3,3,3,3,5,5,4,5,4,4,4,4,2,4,3,3,3,4,5,5,NA,NA,NA,NA,NA,NA,1,5,5,4,4,5,4,5,5,5,3,5,5,5,5,4,5,5,5,5,5,2,2,3,2,3,1,7,1,2,10,1,2,13
361,5,5,4,5,5,5,5,3,5,5,3,3,5,5,5,5,5,1,3,3,3,1,3,2,3,3,5,5,4,1,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,4,4,5,3,3,3,3,3,3,4,1,2,6,1,2,18
362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,2,2,3,3,3,3,1,1,1,1,2,16
363,5,4,5,4,5,5,4,5,5,3,3,3,4,5,5,4,4,3,5,3,4,2,4,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,1,2,2,2,2,3,3,3,5,3,5,4,2,5,1,2,1,1,3,5,5,1,1,1,1,2,13
364,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,1,1,1,1,2,18
365,5,3,5,4,5,3,3,3,4,3,3,3,3,5,4,4,4,3,3,3,5,2,3,3,3,3,5,4,4,NA,NA,1,NA,NA,NA,NA,5,5,5,5,5,5,5,2,5,3,3,3,5,3,3,3,3,3,3,3,2,2,2,2,3,2,2,1,2,3,1,2,13
366,5,3,4,5,5,5,5,5,5,3,2,3,4,4,5,5,5,5,4,3,4,2,2,3,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,4,5,3,5,4,4,5,2,3,3,4,3,3,3,4,4,5,4,3,3,3,3,4,4,4,1,1,3,1,2,20
367,5,4,5,5,5,4,5,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,NA,NA,1,NA,NA,NA,NA,5,5,5,5,4,5,5,3,4,3,4,5,4,3,5,5,4,4,5,5,3,2,3,3,3,3,4,3,1,1,1,2,17
368,4,4,4,5,4,4,3,4,4,3,3,4,4,5,5,4,4,4,3,3,3,3,3,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,5,4,5,3,3,3,3,4,4,5,1,2,1,1,2,20
369,5,4,4,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,4,2,2,2,3,3,4,4,4,NA,NA,1,NA,NA,NA,NA,4,5,5,5,4,3,4,3,4,3,4,4,4,4,5,5,5,4,5,5,4,4,3,3,2,3,3,1,1,3,1,2,19
370,5,5,4,5,5,5,5,5,5,3,3,3,3,5,4,5,5,5,5,3,4,2,3,4,3,3,5,5,3,NA,NA,NA,1,NA,NA,NA,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1,1,2,18
371,5,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,3,3,4,4,NA,NA,1,1,NA,NA,NA,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,4,5,1,2,1,1,2,17
372,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,3,3,3,3,3,3,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,4,3,3,4,5,3,3,3,3,3,3,3,2,3,3,3,3,3,6,1,2,2,1,2,17
373,5,5,5,5,5,5,5,4,4,3,3,3,3,4,4,3,5,5,5,4,5,2,2,3,3,5,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,2,2,2,3,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,1,2,1,1,2,19
374,4,4,4,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,5,1,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,4,2,3,2,2,3,2,2,4,3,5,5,5,1,2,1,2,2,1,3,2,1,1,4,1,2,11
375,5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,5,5,4,4,3,3,2,2,3,2,2,5,4,4,NA,NA,NA,NA,NA,NA,1,4,5,5,4,4,4,4,3,5,3,5,3,5,4,4,4,5,4,5,4,3,2,3,3,3,3,1,1,1,1,1,2,17
376,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,2,3,2,4,3,4,4,3,NA,NA,1,NA,NA,NA,NA,5,4,4,3,4,3,3,1,4,3,4,3,4,3,3,3,4,4,4,2,2,3,3,2,2,2,3,1,2,1,1,2,14
377,5,5,5,5,5,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,2,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,4,4,4,4,4,3,4,3,3,3,4,3,3,4,4,4,4,5,3,3,3,3,3,3,4,1,2,1,1,2,18
378,5,4,5,5,5,5,4,3,4,4,3,3,3,5,4,3,4,3,4,2,4,3,3,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,5,5,3,3,3,3,3,5,2,2,2,4,2,2,4,1,3,3,3,4,3,3,1,2,1,1,2,17
379,4,3,4,3,3,3,4,3,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,4,3,3,4,2,3,3,4,2,3,2,4,4,4,4,3,3,3,3,3,3,2,1,2,8,1,2,18
380,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,2,1,2,1,1,2,18
381,4,4,3,4,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,3,3,3,2,3,3,3,4,4,1,NA,1,NA,NA,NA,NA,4,5,4,4,4,3,3,3,3,3,4,4,4,2,3,4,3,2,5,5,3,3,2,2,4,3,7,1,2,4,1,2,17
382,4,4,4,4,4,4,4,4,4,4,3,2,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,NA,1,NA,NA,NA,NA,NA,5,5,4,3,3,3,5,3,3,2,2,3,3,4,4,4,4,3,3,3,2,3,4,1,3,3,3,1,1.8,1,1,2,16
383,5,3,4,5,3,5,4,4,4,3,3,3,3,4,1,5,5,5,5,3,3,3,3,2,3,2,4,4,4,NA,NA,NA,NA,NA,NA,1,4,3,3,4,3,3,3,2,5,2,2,4,5,3,3,3,3,3,3,3,2,2,2,3,2,2,5,1,2,1,1,2,13
384,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,NA,NA,NA,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,4,4,4,4,2,2.3,4,4,4,7,1,1,1,1,2,16.6666666666667
385,5,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,NA,NA,NA,NA,NA,NA,1,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,1,2,4,1,2,18
386,5,3,5,5,4,5,5,5,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,5,3,1,NA,NA,NA,NA,NA,NA,4,5,4,4,4,3,4,3,4,3,4,5,5,3,4,4,4,3,4,4,3,3,3,3,3,3,4,1,2,1,1,2,18
387,4,3,3,3,3,3,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,1,5,2,4,5,4,5,5,4,5,4,4,3,4,4,4,4,5,5,5,5,3,3,3,3,3,3,2,1,2,1,1,2,18
388,4,4,2,5,5,5,4,4,5,2,2,4,4,4,4,3,4,4,4,3,4,1,3,2,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,2,4,4,3,2,3,1,1,2,2,1,2,18
389,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,2,3,3,3,3,4,3,4,4,3,NA,NA,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,2,3,3,3,3,3,3,1,1,1,1,1,2,18
390,5,4,4,5,4,5,5,4,4,4,4,3,4,5,5,4,5,4,4,4,4,3,3,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,4,3,4,4,5,5,5,4,5,4,4,4,5,4,2,2,2,1,3,3,1,1,2,1,1,2,13
391,4,2,3,3,3,4,4,4,3,3,2,2,3,4,4,4,3,4,4,3,4,2,3,2,3,2,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,3,3,3,4,3,4,4,5,3,5,4,4,5,4,3,3,3,3,2,3,3,2.2,1,1,1,1,1,17
392,4,4,3,4,4,3,4,3,4,2,2,2,4,3,4,3,3,3,3,2,3,3,2,2,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,2,5,5,3,5,3,3,3,4,2,2,3,4,5,4,5,3,3,4,3,3,2,6,1,2,1,1,2,18
393,3,3,4,4,4,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,4,3,3,3,5,5,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,5,5,3,5,3,4,3,3,5,5,5,5,5,5,5,3,3,3,3,3,2,5,1,1,5,1,2,17
394,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,5,4,3,1,NA,NA,NA,NA,1,NA,5,5,4,5,4,4,4,3,4,3,3,3,5,3,4,4,5,5,4,4,3,2,3,3,3,3,3,1,1,4,1,2,17
395,5,4,4,4,5,5,5,5,5,3,3,3,4,4,5,4,5,4,4,3,4,1,3,3,3,3,5,5,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,4,2,2,3,3,3,1,5,1,2,2,1,2,14
396,5,3,4,4,5,4,5,3,4,3,3,2,4,4,3,4,4,3,3,2,4,3,3,4,2,2,5,2,3,NA,NA,NA,NA,NA,NA,1,4,5,3,4,4,5,5,2,3,2,4,2,3,2,3,3,4,4,4,5,3,4,4,3,2,3,7,1,2,1,1,2,19
397,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,4,3,4,5,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,4,1,2,18
398,4,4,3,3,3,4,3,4,3,3,4,3,4,4,4,3,3,3,2,3,3,4,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,2,2,3,4,3,3,1,1,1,3,1,2,17
399,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,1,3,1,5,4,5,1,5,5,4,5,5,5,5,3,5,4,5,5,4,1,2,7,1,2,27
400,4,4,3,5,5,5,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,4,4,5,5,5,1,1,1,NA,NA,1,NA,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,3,3,3,3,3,3,2,2,1,4,1,2,18
401,3,4,3,4,5,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,3,NA,NA,NA,NA,NA,NA,1,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,3,1,2,18
402,4,4,4,3,5,5,4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,3,2,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,2,3,2,2,4,4,4,1,1,2,1,2,17
403,3,4,4,3,4,5,4,4,4,4,3,2,4,4,3,3,3,4,3,3,3,2,3,2,3,4,4,4,4,NA,1,NA,NA,NA,NA,1,3,3,4,4,4,3,2,2,2,3,4,4,4,3,3,3,3,4,5,4,2,2,4,1,3,3,1,1,1,3,1,2,15
404,5,4,4,5,3,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,2.9,4,4,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,4,3,3,2,3,2,2,2,2,3,3,2,4,4,4,4,4,4,4,5,5,5,3,3,3,3,1,1,2,1,2,24
405,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,4,4,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,5,3,5,3,3,3,4,3,5,5,5,5,5,5,3,3,2,3,4,2,4,1,1,4,1,2,17
406,4,3,4,4,4,4,4,5,2,3,3,2,2,4,4,3,4,3,2,3,4,2,3,2,3,2,3,4,4,NA,NA,1,NA,NA,NA,NA,4,4,5,5,5,3,4,2,3,3,4,5,3,3,4,4,5,4,4,4,3,3,3,3,3,3,2,1,1,6,1,2,18
407,5,3,4,3,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,3,4,3,2,2,4,4,4,4,4,NA,NA,1,NA,NA,NA,NA,4,5,3,4,2,3,4,3,4,2,3,2,4,3,3,3,3,3,3,5,4,4,4,2,3,3,6,1,2,1,1,2,20
408,4,3,4,4,5,4,4,4,4,3,2,2,4,4,4,4,4,3,4,2,4,3,4,3,4,4,4,4,3,NA,1,NA,NA,NA,NA,NA,4,4,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,1,2,1,1,2,23
409,4,4,4,4,4,4,4,4,4,5,3,2,3,4,3,4,3,3,3,4,5,4,3,1,4,4,4,4,4,NA,NA,1,NA,1,NA,NA,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,2.7,3,5,1,1,1,1,2,15.9
410,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,5,5,5,2,2,2,4,4,5,2,1,2,2,1,2,19
411,5,4,4,2,3,4,4,4,5,3,4,3,3,5,4,4,4,4,3,3,4,3,4,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,5,5,4,4,4,3,3,3,4,3,4,4,5,3,3,3,4,4,4,3,3,3,3,3,5,3,2,1,1,1,1,2,20
412,4,3,4,4,3,4,5,5,4,3,3,3,3,5,5,4,4,4,4,3,5,3,4,3,3,3,5,4,3,NA,NA,NA,NA,NA,NA,1,3,5,4,4,5,3,5,3,3,2,5,5,5,4,5,4,5,5,5,4,2,2,2,3,3,3,3,1,1,1,1,2,15
413,5,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,NA,NA,NA,NA,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,5,5,4,5,1,1,1,1,2,18
414,4,4,4,4,4,3,5,3,4,3,3,3,5,5,4,3,4,3,3,3,4,3,3,3,3,3,5,4,3,NA,NA,NA,NA,NA,1,NA,4,4,5,5,5,3,4,3,4,2,5,3,3,3,4,4,4,4,4,4,2,3,3,3,3,3,3,1,1,2,1,2,17
415,4,3,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,4,2,4,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,4,4,3,4,3,3,3,5,4,4,4,5,4,4,4,3,3,3,3,3,3,2,1,2,1,1,1,18
416,5,3,4,4,5,5,4,5,5,2,3,3,5,5,5,4,5,4,4,4,5,2,4,3,3,4,4,4,5,NA,NA,1,NA,NA,NA,1,5,5,4,5,4,4,5,3,5,3,3,3.6,4,4,4,4,4,4,4,4,1,1,3,1,3,2,2,1,2,1,1,2,11
